gene,4600.5
encode,504.5
duplicate,38.5
define,24.5
target,18.5
specifically,16.5
identify,15.5
protein,13.5
single,13.5
occur,13.5
accumulation,13.5
elegans,12.5
transcriptional,12.5
divergent,12.5
derive,11.5
strong,11.5
upstream,11.5
function,10.5
similarity,10.5
locate,10.5
differentiate,10.5
disperse,10.5
find,9.5
interaction,9.5
organization,9.5
16,9.5
vitellogenin,9.5
regulate,8.5
system,8.5
copy,8.5
independent,8.5
finding,8.5
arise,8.5
correspond,8.5
subfamily,8.5
distance,8.5
acid,7.5
important,7.5
difference,7.5
putative,7.5
likely,7.5
basis,7.5
responsible,7.5
multicellular,7.5
surprisingly,7.5
cut,7.5
heterogeneity,7.5
suggest,6.5
mrna,6.5
formation,6.5
common,6.5
analyze,6.5
central,6.5
50,6.5
recently,6.5
morphology,6.5
chromatin,6.5
phenotypic,6.5
contain,6.5
mutate,6.5
neuromuscular,6.5
unlike,6.5
tata,6.5
role,5.5
regulatory,5.5
indicate,5.5
block,5.5
mouse,5.5
homologue,5.5
investigate,5.5
plant,5.5
restrict,5.5
detectable,5.5
differential,5.5
expect,5.5
18,5.5
untranslated,5.5
progression,5.5
operon,5.5
lie,5.5
truncate,5.5
adaptor,5.5
flp,5.5
permissive,5.5
caenorhabditis,4.5
show,4.5
expression,4.5
control,4.5
family,4.5
molecular,4.5
response,4.5
mammalian,4.5
demonstrate,4.5
functional,4.5
vertebrate,4.5
class,4.5
appear,4.5
cause,4.5
lack,4.5
part,4.5
consistent,4.5
loss,4.5
aspect,4.5
undergo,4.5
alternative,4.5
total,4.5
order,4.5
functionally,4.5
codon,4.5
kb,4.5
reveals,4.5
hox,4.5
comparison,4.5
extensive,4.5
distal,4.5
xenopus,4.5
candidate,4.5
possibility,4.5
variable,4.5
secrete,4.5
weak,4.5
absent,4.5
choice,4.5
22,4.5
classical,4.5
inhibits,4.5
main,4.5
ribosomal,4.5
stop,4.5
ass,4.5
limited,4.5
architecture,4.5
susceptibility,4.5
1995,4.5
result,3.5
factor,3.5
generate,3.5
enzyme,3.5
highly,3.5
