type,917.5
elegans,386.5
show,234.5
caenorhabditis,187.5
wild,176.5
distinct,160.5
pattern,101.5
suggest,63.5
similar,39.5
exhibit,38.5
addition,38.5
body,34.5
examine,33.5
lead,32.5
characterize,32.5
length,32.5
study,30.5
development,29.5
include,28.5
expression,27.5
target,24.5
general,24.5
single,20.5
essential,19.5
hypothesis,17.5
homeobox,17.5
variety,16.5
presence,15.5
feature,15.5
gene,14.5
specific,14.5
observe,14.5
indicate,14.5
mutation,13.5
define,13.5
occur,13.5
16,13.5
mutant,12.5
present,12.5
differ,12.5
point,12.5
facilitate,12.5
prior,12.5
paper,12.5
mechanism,11.5
individual,11.5
describe,11.5
detect,10.5
ii,10.5
open,10.5
data,9.5
method,9.5
identity,9.5
link,9.5
investigate,9.5
candidate,9.5
previous,9.5
identify,8.5
early,8.5
generate,8.5
lack,8.5
deletion,8.5
responsible,8.5
correlate,8.5
accumulation,8.5
dependent,8.5
100,8.5
finding,8.5
treatment,8.5
close,8.5
discover,8.5
disorder,8.5
finally,8.5
function,7.5
phenotype,7.5
previously,7.5
regulatory,7.5
complete,7.5
active,7.5
essentially,7.5
existence,7.5
emerge,7.5
32,7.5
ultrastructural,7.5
transmit,7.5
neurodegeneration,7.5
organism,6.5
growth,6.5
act,6.5
demonstrate,6.5
formation,6.5
group,6.5
experiment,6.5
vivo,6.5
share,6.5
ability,6.5
significantly,6.5
extract,6.5
nerve,6.5
maintain,6.5
rapid,6.5
related,6.5
depend,6.5
separate,6.5
primary,6.5
lethality,6.5
understand,6.5
linkage,6.5
discuss,6.5
see,6.5
reproductive,6.5
ectopic,6.5
contrast,6.5
typical,6.5
expand,6.5
conclude,6.5
tube,6.5
36,6.5
role,5.5
find,5.5
genome,5.5
regulation,5.5
base,5.5
inhibit,5.5
alter,5.5
embryogenesis,5.5
medium,5.5
represent,5.5
transcriptional,5.5
prevent,5.5
independent,5.5
limit,5.5
requirement,5.5
affinity,5.5
modulate,5.5
consequence,5.5
inactivation,5.5
selective,5.5
continue,5.5
absent,5.5
80,5.5
ancestral,5.5
bond,5.5
page,5.5
actually,5.5
draw,5.5
express,4.5
analysis,4.5
determine,4.5
class,4.5
multiple,4.5
direct,4.5
compare,4.5
behavior,4.5
support,4.5
activation,4.5
nucleus,4.5
peptide,4.5
regulator,4.5
property,4.5
absence,4.5
central,4.5
fail,4.5
inhibitor,4.5
50,4.5
recently,4.5
functionally,4.5
morphological,4.5
recognize,4.5
apparent,4.5
iii,4.5
restrict,4.5
gfp,4.5
primarily,4.5
explain,4.5
switch,4.5
fraction,4.5
selection,4.5
determinant,4.5
crucial,4.5
remove,4.5
blot,4.5
overlap,4.5
combine,4.5
particle,4.5
nematodes,4.5
advantage,4.5
fundamental,4.5
structurally,4.5
introduce,4.5
initially,4.5
signalling,4.5
zygote,4.5
clearly,4.5
mutational,4.5
analyse,4.5
final,4.5
vector,4.5
frequently,4.5
full,4.5
impair,4.5
counterpart,4.5
opportunity,4.5
irradiation,4.5
unidentified,4.5
cold,4.5
transforming,4.5
rule,4.5
characterise,4.5
methylation,4.5
activity,3.5
genetic,3.5
level,3.5
complex,3.5
strain,3.5
induce,3.5
highly,3.5
reduce,3.5
test,3.5
potential,3.5
part,3.5
homology,3.5
simple,3.5
homologue,3.5
genetically,3.5
sensitivity,3.5
mean,3.5
total,3.5
alteration,3.5
research,3.5
temporal,3.5
negative,3.5
confirm,3.5
cue,3.5
shape,3.5
recognition,3.5
11,3.5
compose,3.5
compound,3.5
differentiate,3.5
distinguish,3.5
reading,3.5
half,3.5
permit,3.5
unknown,3.5
variable,3.5
constitute,3.5
splicing,3.5
nm,3.5
discovery,3.5
utilize,3.5
value,3.5
overexpression,3.5
stem,3.5
hour,3.5
image,3.5
presumably,3.5
immune,3.5
unlike,3.5
hybrid,3.5
situ,3.5
pharmacological,3.5
match,3.5
run,3.5
differs,3.5
degeneration,3.5
elucidate,3.5
preferentially,3.5
connect,3.5
cuticular,3.5
fix,3.5
learn,3.5
ache,3.5
recruit,3.5
atpase,3.5
hold,3.5
conversion,3.5
substance,3.5
rg,3.5
explanation,3.5
few,3.5
dystrophin,3.5
notion,3.5
amplify,3.5
offspring,3.5
million,3.5
replacement,3.5
ancestor,3.5
respiratory,3.5
adulthood,3.5
twist,3.5
scaffold,3.5
easy,3.5
statistical,3.5
alcohol,3.5
reason,3.5
polycomb,3.5
contiguous,3.5
peroxidase,3.5
bilaterally,3.5
quantitatively,3.5
binary,3.5
nematode,2.5
encode,2.5
form,2.5
worm,2.5
model,2.5
conserve,2.5
developmental,2.5
bind,2.5
affect,2.5
site,2.5
know,2.5
isolate,2.5
large,2.5
cellular,2.5
play,2.5
major,2.5
appear,2.5
splice,2.5
interference,2.5
degree,2.5
approach,2.5
neuronal,2.5
arrest,2.5
locus,2.5
determination,2.5
characteristic,2.5
establish,2.5
assembly,2.5
meiotic,2.5
cleavage,2.5
homolog,2.5
vitro,2.5
understanding,2.5
approximately,2.5
resistance,2.5
extracellular,2.5
influence,2.5
ventral,2.5
maternal,2.5
undergo,2.5
